Time,Channel A,Channel B
(ms),(V),(V)

-0.40006171,0.01757866,0.01861629
-0.40002171,0.02392651,0.01721244
-0.39998171,0.01684622,0.01751762
-0.39994171,0.02294992,0.01837214
-0.39990171,0.01770074,0.01873836
-0.39986171,0.01849422,0.02038636
-0.39982171,0.02545244,0.02307199
-0.39978171,0.01886044,0.01470992
-0.39974171,0.01782281,0.01886044
-0.39970171,0.02471999,0.01672414
-0.39966171,0.02343822,0.01434370
-0.39962171,0.02154607,0.02142399
-0.39958171,0.02111881,0.02014222
-0.39954171,0.02014222,0.01544237
-0.39950171,0.02099673,0.01940977
-0.39946171,0.02179022,0.02038636
-0.39942171,0.02594073,0.01928770
-0.39938171,0.02404859,0.01989807
-0.39934171,0.01922666,0.01648000
-0.39930171,0.02063051,0.01989807
-0.39926171,0.01837214,0.01751762
-0.39922171,0.02331614,0.01672414
-0.39918171,0.01910459,0.01519822
-0.39914171,0.02471999,0.01709037
-0.39910171,0.02191229,0.02270577
-0.39906171,0.02508621,0.01648000
-0.39902171,0.01428266,0.01434370
-0.39898171,0.02111881,0.01635792
-0.39894171,0.01782281,0.01391644
-0.39890171,0.01873836,0.02307199
-0.39886171,0.02496414,0.02459792
-0.39882171,0.02264473,0.02282785
-0.39878171,0.01922666,0.02539140
-0.39874171,0.01745659,0.01599170
-0.39870171,0.02471999,0.01751762
-0.39866171,0.02240059,0.02026429
-0.39862171,0.02215644,0.01989807
-0.39858171,0.02533036,0.01763970
-0.39854171,0.02038636,0.02014222
-0.39850171,0.01800592,0.02282785
-0.39846171,0.02557451,0.02026429
-0.39842171,0.02203436,0.01837214
-0.39838171,0.02276681,0.01965392
-0.39834171,0.02240059,0.01751762
-0.39830171,0.02276681,0.01355022
-0.39826171,0.02038636,0.01940977
-0.39822171,0.02496414,0.01507614
-0.39818171,0.01837214,0.01861629
-0.39814171,0.02331614,0.01989807
-0.39810171,0.02356029,0.01281777
-0.39806171,0.01812799,0.01648000
-0.39802171,0.02191229,0.02056948
-0.39798171,0.02276681,0.01977599
-0.39794171,0.01989807,0.02343822
-0.39790171,0.02166814,0.01495407
-0.39786171,0.02026429,0.01928770
-0.39782171,0.01617481,0.01458785
-0.39778171,0.02154607,0.01355022
-0.39774171,0.02038636,0.02221747
-0.39770171,0.02392651,0.01763970
-0.39766171,0.02417066,0.02484207
-0.39762171,0.02392651,0.01861629
-0.39758171,0.01965392,0.01965392
-0.39754171,0.02331614,0.01684622
-0.39750171,0.02392651,0.02026429
-0.39746171,0.02075259,0.01940977
-0.39742171,0.02557451,0.01586962
-0.39738171,0.02508621,0.02307199
-0.39734171,0.01910459,0.01989807
-0.39730171,0.02685629,0.01928770
-0.39726171,0.02569658,0.01953185
-0.39722171,0.02484207,0.01989807
-0.39718171,0.01989807,0.01776177
-0.39714171,0.01873836,0.01837214
-0.39710171,0.02874844,0.02246162
-0.39706171,0.01977599,0.02014222
-0.39702171,0.02471999,0.02191229
-0.39698171,0.02380444,0.01586962
-0.39694171,0.02215644,0.01556444
-0.39690171,0.02130192,0.01684622
-0.39686171,0.02368236,0.01928770
-0.39682171,0.02545244,0.02093570
-0.39678171,0.02429273,0.02526933
-0.39674171,0.02520829,0.01342814
-0.39670171,0.02569658,0.02093570
-0.39666171,0.02368236,0.01849422
-0.39662171,0.02801599,0.02081362
-0.39658171,0.02429273,0.01660207
-0.39654171,0.02569658,0.01379437
-0.39650171,0.02520829,0.01849422
-0.39646171,0.01922666,0.01556444
-0.39642171,0.02417066,0.02673421
-0.39638171,0.02392651,0.01916562
-0.39634171,0.02154607,0.02105777
-0.39630171,0.02496414,0.01635792
-0.39626171,0.02484207,0.01251259
-0.39622171,0.02594073,0.01928770
-0.39618171,0.02087466,0.02093570
-0.39614171,0.02673421,0.01861629
-0.39610171,0.02404859,0.01886044
-0.39606171,0.02050844,0.01568651
-0.39602171,0.02368236,0.01446577
-0.39598171,0.02063051,0.01788385
-0.39594171,0.02368236,0.01849422
-0.39590171,0.02417066,0.01709037
-0.39586171,0.01849422,0.02117985
-0.39582171,0.01684622,0.01507614
-0.39578171,0.01922666,0.01544237
-0.39574171,0.02520829,0.01568651
-0.39570171,0.02154607,0.02002014
-0.39566171,0.01873836,0.01837214
-0.39562171,0.02649007,0.01763970
-0.39558171,0.01800592,0.02191229
-0.39554171,0.01849422,0.01788385
-0.39550171,0.01922666,0.02142399
-0.39546171,0.02307199,0.01776177
-0.39542171,0.02075259,0.01556444
-0.39538171,0.02380444,0.02056948
-0.39534171,0.01556444,0.01635792
-0.39530171,0.02075259,0.02374340
