Time,Channel A,Channel B
(ms),(V),(V)

-0.40004658,-0.00701926,-0.00408948
-0.40000658,-0.00372326,0.00317393
-0.39996658,-0.00561541,0.00012207
-0.39992658,-0.00866726,-0.00268563
-0.39988658,-0.00561541,-0.00408948
-0.39984658,-0.00317393,-0.00079348
-0.39980658,-0.00207526,-0.00323496
-0.39976658,-0.00054933,0.00036622
-0.39972658,-0.00469985,-0.00140385
-0.39968658,-0.00103763,-0.00347911
-0.39964658,-0.00256356,0.00494400
-0.39960658,-0.00970489,0.00061037
-0.39956658,-0.00854518,0.00415052
-0.39952658,-0.00653096,0.00250252
-0.39948658,-0.00726341,0.00567644
-0.39944658,-0.00231941,0.00494400
-0.39940658,-0.00512711,0.00469985
-0.39936658,-0.00305185,0.00262459
-0.39932658,-0.00244148,0.00317393
-0.39928658,-0.00372326,0.00622578
-0.39924658,-0.00585955,0.00250252
-0.39920658,-0.00457778,0.00146489
-0.39916658,0.00427259,0.00134281
-0.39912658,-0.00689718,-0.00030519
-0.39908658,-0.00280770,0.00177007
-0.39904658,-0.00622578,-0.00256356
-0.39900658,-0.00115970,-0.00079348
-0.39896658,-0.00152593,-0.00280770
-0.39892658,-0.00469985,0.00024415
-0.39888658,-0.00622578,0.00000000
-0.39884658,-0.00445570,0.00177007
-0.39880658,-0.00634785,-0.00305185
-0.39876658,-0.00775170,-0.00323496
-0.39872658,-0.00878933,0.00164800
-0.39868658,-0.00903348,0.00146489
-0.39864658,-0.01135289,0.00122074
-0.39860658,-0.00750755,0.00439467
-0.39856658,-0.01068148,-0.00280770
-0.39852658,-0.00360118,0.00622578
-0.39848658,-0.00762963,0.00329600
-0.39844658,-0.00585955,-0.00256356
-0.39840658,-0.00750755,0.00213630
-0.39836658,-0.00054933,-0.00347911
-0.39832658,-0.00408948,0.00451674
-0.39828658,-0.00305185,0.00201422
-0.39824658,-0.00030519,0.00146489
-0.39820658,-0.00762963,-0.00115970
-0.39816658,-0.00952178,0.00518815
-0.39812658,-0.00726341,-0.00103763
-0.39808658,-0.00750755,0.00390637
-0.39804658,-0.00183111,-0.00433363
-0.39800658,-0.00665304,0.00543230
-0.39796658,-0.00445570,0.00122074
-0.39792658,-0.00170904,-0.00115970
-0.39788658,-0.00524918,-0.00347911
-0.39784658,-0.01031526,0.00048830
-0.39780658,-0.00457778,0.00451674
-0.39776658,-0.00457778,0.00402844
-0.39772658,-0.00170904,0.00109867
-0.39768658,-0.00317393,-0.00030519
-0.39764658,-0.00457778,-0.00054933
-0.39760658,-0.00292978,0.00146489
-0.39756658,-0.01220740,0.00299081
-0.39752658,0.00000000,0.00390637
-0.39748658,-0.00469985,0.00073244
-0.39744658,-0.00433363,-0.00079348
-0.39740658,-0.00738548,0.00109867
-0.39736658,-0.00634785,0.00250252
-0.39732658,-0.00396741,0.00427259
-0.39728658,-0.00653096,0.00177007
-0.39724658,-0.00524918,0.00109867
-0.39720658,-0.01464888,-0.00360118
-0.39716658,-0.00372326,0.00592059
-0.39712658,-0.00842311,0.00085452
-0.39708658,-0.00573748,-0.00067141
-0.39704658,-0.00866726,0.00415052
-0.39700658,-0.00549333,0.00708029
-0.39696658,-0.00488296,0.00225837
-0.39692658,-0.00396741,-0.00042726
-0.39688658,-0.00689718,-0.00396741
-0.39684658,-0.00714133,0.00061037
-0.39680658,-0.00360118,0.00189215
-0.39676658,-0.00677511,0.00354015
-0.39672658,-0.00305185,-0.00445570
-0.39668658,-0.00854518,0.01001007
-0.39664658,-0.00457778,-0.00372326
-0.39660658,-0.00775170,-0.00079348
-0.39656658,-0.00305185,0.00036622
-0.39652658,-0.00842311,-0.00183111
-0.39648658,-0.00408948,-0.00067141
-0.39644658,-0.00891141,0.00024415
-0.39640658,-0.00396741,0.00085452
-0.39636658,-0.00347911,0.00024415
-0.39632658,-0.00903348,-0.00219733
-0.39628658,-0.00891141,0.00164800
-0.39624658,-0.00726341,-0.00018311
-0.39620658,-0.00830104,-0.00091556
-0.39616658,-0.00457778,-0.00152593
-0.39612658,-0.00573748,-0.00372326
-0.39608658,-0.00128178,0.00341807
-0.39604658,-0.00292978,-0.00152593
-0.39600658,-0.00372326,-0.00054933
-0.39596658,-0.00292978,-0.00268563
-0.39592658,-0.00372326,0.00134281
-0.39588658,-0.00305185,-0.00079348
-0.39584658,-0.00408948,0.00579852
-0.39580658,-0.00903348,0.00000000
-0.39576658,-0.00384533,0.00201422
-0.39572658,-0.00292978,0.00250252
-0.39568658,-0.00537126,0.00177007
-0.39564658,-0.00561541,-0.00396741
-0.39560658,0.00048830,0.00592059
