Time,Channel A,Channel B
(ms),(V),(V)

-0.40007155,-0.00128178,0.00134281
-0.40003155,0.00012207,0.00250252
-0.39999155,-0.00054933,0.00164800
-0.39995155,-0.00158696,0.00085452
-0.39991155,0.00250252,0.00213630
-0.39987155,0.00213630,0.00189215
-0.39983155,0.00097659,-0.00268563
-0.39979155,-0.00476089,0.00085452
-0.39975155,-0.00335704,-0.00433363
-0.39971155,0.00250252,0.00579852
-0.39967155,0.00213630,0.00427259
-0.39963155,-0.00140385,0.00482192
-0.39959155,0.00073244,-0.00207526
-0.39955155,0.00402844,-0.00244148
-0.39951155,0.00366222,-0.00323496
-0.39947155,0.00122074,0.00567644
-0.39943155,-0.00665304,0.00305185
-0.39939155,0.00048830,0.00036622
-0.39935155,-0.00384533,-0.00030519
-0.39931155,0.00134281,0.00683615
-0.39927155,-0.00183111,0.00274667
-0.39923155,-0.00372326,-0.00158696
-0.39919155,0.00073244,0.00213630
-0.39915155,-0.00140385,-0.00573748
-0.39911155,0.00555437,0.00122074
-0.39907155,-0.00018311,-0.00512711
-0.39903155,-0.00030519,-0.00372326
-0.39899155,-0.00463881,0.00036622
-0.39895155,-0.00018311,0.00238044
-0.39891155,-0.00231941,0.00122074
-0.39887155,-0.00103763,0.00506607
-0.39883155,0.00048830,0.00134281
-0.39879155,-0.00115970,-0.00170904
-0.39875155,0.00238044,-0.00103763
-0.39871155,-0.00158696,-0.00231941
-0.39867155,-0.00231941,-0.00079348
-0.39863155,-0.00054933,0.00152593
-0.39859155,-0.00091556,0.00061037
-0.39855155,0.00048830,-0.00042726
-0.39851155,0.00152593,0.00341807
-0.39847155,-0.00256356,0.00000000
-0.39843155,-0.00500504,0.00915555
-0.39839155,-0.00115970,-0.00561541
-0.39835155,0.00134281,0.00189215
-0.39831155,-0.00195319,-0.00079348
-0.39827155,0.00036622,-0.00292978
-0.39823155,0.00164800,0.00354015
-0.39819155,-0.00030519,-0.00128178
-0.39815155,-0.00476089,0.00036622
-0.39811155,-0.00091556,0.00097659
-0.39807155,0.00122074,0.00061037
-0.39803155,-0.00079348,0.00213630
-0.39799155,-0.00537126,0.00445570
-0.39795155,-0.00335704,0.00567644
-0.39791155,0.00097659,-0.00115970
-0.39787155,-0.00158696,0.00225837
-0.39783155,0.00177007,0.00134281
-0.39779155,-0.00195319,0.00457778
-0.39775155,0.00073244,0.00238044
-0.39771155,0.00109867,0.00250252
-0.39767155,-0.00128178,0.00213630
-0.39763155,-0.00207526,0.00061037
-0.39759155,0.00036622,0.00262459
-0.39755155,-0.00140385,0.00122074
-0.39751155,0.00048830,0.00567644
-0.39747155,-0.00537126,-0.00195319
-0.39743155,-0.00256356,-0.00360118
-0.39739155,-0.00372326,0.00238044
-0.39735155,-0.00360118,0.00683615
-0.39731155,-0.00549333,0.00213630
-0.39727155,-0.00384533,-0.00256356
-0.39723155,-0.00433363,0.00482192
-0.39719155,0.00109867,0.00189215
-0.39715155,-0.00500504,0.00036622
-0.39711155,0.00000000,0.00250252
-0.39707155,-0.00128178,-0.00018311
-0.39703155,-0.00396741,0.00225837
-0.39699155,-0.00585955,-0.00585955
-0.39695155,-0.00140385,-0.00079348
-0.39691155,-0.00054933,0.00213630
-0.39687155,-0.00500504,-0.00292978
-0.39683155,-0.00067141,0.00061037
-0.39679155,0.00122074,-0.00115970
-0.39675155,-0.00653096,0.00073244
-0.39671155,-0.00183111,-0.00433363
-0.39667155,-0.00769066,-0.00207526
-0.39663155,-0.00158696,0.00097659
-0.39659155,-0.00372326,0.00061037
-0.39655155,-0.00524918,0.00189215
-0.39651155,0.00317393,-0.00311289
-0.39647155,0.00061037,0.00012207
-0.39643155,0.00238044,-0.00128178
-0.39639155,-0.00463881,0.00097659
-0.39635155,0.00238044,0.00390637
-0.39631155,-0.00231941,-0.00195319
-0.39627155,-0.00268563,0.00305185
-0.39623155,-0.00115970,-0.00268563
-0.39619155,0.00262459,0.00622578
-0.39615155,0.00201422,-0.00384533
-0.39611155,0.00134281,-0.00219733
-0.39607155,0.00262459,-0.00195319
-0.39603155,-0.00103763,0.00177007
-0.39599155,-0.00231941,0.00738548
-0.39595155,0.00134281,-0.00091556
-0.39591155,-0.00549333,0.00134281
-0.39587155,-0.00677511,-0.00115970
-0.39583155,-0.00103763,0.00061037
-0.39579155,-0.00103763,-0.00384533
-0.39575155,-0.00115970,-0.00091556
-0.39571155,-0.00140385,-0.00103763
-0.39567155,0.00109867,-0.00115970
-0.39563155,-0.00091556,0.00085452
-0.39559155,-0.00231941,-0.00140385
-0.39555155,-0.00158696,0.00415052
