Time,Channel A,Channel B
(ms),(V),(V)

-0.40006424,0.01593066,0.00726341
-0.40002424,0.01373333,0.00457778
-0.39998424,0.01409955,0.00036622
-0.39994424,0.01538133,0.01159703
-0.39990424,0.01068148,0.00213630
-0.39986424,0.01477096,-0.00091556
-0.39982424,0.01641896,0.00506607
-0.39978424,0.01477096,0.00122074
-0.39974424,0.01336711,-0.00030519
-0.39970424,0.00878933,-0.00183111
-0.39966424,0.01324503,0.00097659
-0.39962424,0.01293985,0.00140385
-0.39958424,0.01196326,-0.00219733
-0.39954424,0.01092563,0.00292978
-0.39950424,0.00915555,0.00610370
-0.39946424,0.02020325,0.00354015
-0.39942424,0.01794488,-0.00091556
-0.39938424,0.01422163,-0.00103763
-0.39934424,0.01001007,0.00469985
-0.39930424,0.00836207,0.00250252
-0.39926424,0.01312296,0.00213630
-0.39922424,0.01257363,0.00317393
-0.39918424,0.01654103,-0.00128178
-0.39914424,0.01068148,-0.00286874
-0.39910424,0.01574755,0.00140385
-0.39906424,0.01574755,-0.00347911
-0.39902424,0.01550340,0.00506607
-0.39898424,0.01324503,0.00109867
-0.39894424,0.01171911,0.00378430
-0.39890424,0.00952178,0.00573748
-0.39886424,0.01080355,0.00341807
-0.39882424,0.01477096,0.00341807
-0.39878424,0.01116977,0.00354015
-0.39874424,0.00671407,-0.00183111
-0.39870424,0.01031526,0.00225837
-0.39866424,0.01159703,0.00189215
-0.39862424,0.00952178,0.00292978
-0.39858424,0.01068148,0.00189215
-0.39854424,0.01220740,0.00531022
-0.39850424,0.01434370,0.00421155
-0.39846424,0.01055940,-0.00115970
-0.39842424,0.01593066,-0.00537126
-0.39838424,0.00531022,0.00140385
-0.39834424,0.01794488,0.00573748
-0.39830424,0.00964385,0.00366222
-0.39826424,0.01019318,0.00292978
-0.39822424,0.01001007,0.00543230
-0.39818424,0.01702933,0.00378430
-0.39814424,0.01361126,0.00402844
-0.39810424,0.01409955,0.00177007
-0.39806424,0.01654103,0.00177007
-0.39802424,0.01043733,0.00097659
-0.39798424,0.00836207,0.00036622
-0.39794424,0.01104770,0.00292978
-0.39790424,0.01434370,0.00262459
-0.39786424,0.00329600,0.00000000
-0.39782424,0.01068148,0.00152593
-0.39778424,0.01269570,-0.00128178
-0.39774424,0.01324503,0.00238044
-0.39770424,0.01129185,0.00317393
-0.39766424,0.01324503,0.00140385
-0.39762424,0.01104770,0.00518815
-0.39758424,0.01538133,0.00048830
-0.39754424,0.01141392,0.00811792
-0.39750424,0.01477096,0.00152593
-0.39746424,0.01184118,0.00390637
-0.39742424,0.01312296,0.00073244
-0.39738424,0.01666311,0.00262459
-0.39734424,0.01574755,0.00189215
-0.39730424,0.01196326,0.00280770
-0.39726424,0.01373333,0.00250252
-0.39722424,0.00799585,-0.00018311
-0.39718424,0.00482192,0.00726341
-0.39714424,0.01525925,0.00048830
-0.39710424,0.01196326,0.00341807
-0.39706424,0.01422163,0.00109867
-0.39702424,0.01373333,0.00012207
-0.39698424,0.01348918,0.00531022
-0.39694424,0.01348918,0.00073244
-0.39690424,0.01605274,0.00189215
-0.39686424,0.01409955,-0.00042726
-0.39682424,0.01629688,0.00402844
-0.39678424,0.01574755,0.00305185
-0.39674424,0.01501511,0.00402844
-0.39670424,0.01184118,0.00164800
-0.39666424,0.01464888,0.00482192
-0.39662424,0.01336711,-0.00103763
-0.39658424,0.01293985,0.00085452
-0.39654424,0.01409955,-0.00408948
-0.39650424,0.01971496,0.00238044
-0.39646424,0.01959288,0.00225837
-0.39642424,0.01196326,0.00543230
-0.39638424,0.01538133,0.00421155
-0.39634424,0.01562548,-0.00018311
-0.39630424,0.01208533,0.00012207
-0.39626424,0.01159703,0.00085452
-0.39622424,0.01641896,-0.00103763
-0.39618424,0.01452681,-0.00158696
-0.39614424,0.01159703,-0.00018311
-0.39610424,0.00952178,0.00469985
-0.39606424,0.01574755,-0.00103763
-0.39602424,0.01641896,0.00048830
-0.39598424,0.01702933,0.00494400
-0.39594424,0.01019318,0.00164800
-0.39590424,0.01452681,0.00457778
-0.39586424,0.01232948,-0.00360118
-0.39582424,0.01068148,0.00085452
-0.39578424,0.01232948,0.00573748
-0.39574424,0.01031526,-0.00335704
-0.39570424,0.01269570,0.00201422
-0.39566424,0.01269570,0.00073244
-0.39562424,0.00939970,0.00518815
-0.39558424,0.00927763,-0.00018311
-0.39554424,0.01434370,0.00824000
-0.39550424,0.01782281,-0.00128178
-0.39546424,0.01208533,0.00073244
-0.39542424,0.01373333,-0.00030519
-0.39538424,0.01513718,0.00433363
