Time,Channel A,Channel B
(ms),(V),(V)
,,
-0.40007876,-0.00018311,0.0021363
-0.40003876,-0.00292978,0.00451674
-0.39999876,0.00024415,-0.00219733
-0.39995876,-0.00347911,-0.0011597
-0.39991876,0.00122074,0.00262459
-0.39987876,0.00286874,-0.00067141
-0.39983876,0,0.00024415
-0.39979876,0.0021363,0.0021363
-0.39975876,0.00109867,0.00012207
-0.39971876,0.00225837,0.00146489
-0.39967876,-0.0044557,0.00134281
-0.39963876,-0.00524918,-0.00030519
-0.39959876,-0.004944,0.00366222
-0.39955876,0.00286874,-0.00079348
-0.39951876,0,0.00311289
-0.39947876,-0.003296,-0.00195319
-0.39943876,0.00122074,-0.00042726
-0.39939876,-0.00305185,0.00097659
-0.39935876,0.00189215,0.00390637
-0.39931876,-0.00421155,0.001648
-0.39927876,0.00201422,0.00201422
-0.39923876,-0.00140385,-0.00079348
-0.39919876,-0.00207526,0.00262459
-0.39915876,0.00158696,0.00122074
-0.39911876,-0.00671407,0.00250252
-0.39907876,0.00390637,0.00274667
-0.39903876,-0.00195319,0.00012207
-0.39899876,-0.00183111,-0.00067141
-0.39895876,-0.00231941,-0.00079348
-0.39891876,0.00012207,-0.00317393
-0.39887876,0.00109867,0.00146489
-0.39883876,-0.00079348,0.00299081
-0.39879876,-0.001648,0.00238044
-0.39875876,0.00225837,0.00769066
-0.39871876,0.00439467,-0.00347911
-0.39867876,-0.00152593,0.00274667
-0.39863876,-0.00231941,0.00390637
-0.39859876,-0.00219733,0.00506607
-0.39855876,-0.00433363,-0.00067141
-0.39851876,0.00439467,0.0054323
-0.39847876,-0.00421155,-0.00128178
-0.39843876,0.0037843,-0.0011597
-0.39839876,0.00158696,-0.00244148
-0.39835876,0.00695822,0.00451674
-0.39831876,-0.00292978,0.00238044
-0.39827876,-0.0011597,0.00592059
-0.39823876,-0.00091556,0.00201422
-0.39819876,0.00109867,0.00640889
-0.39815876,-0.00512711,0.003296
-0.39811876,-0.00091556,0.00061037
-0.39807876,0.00415052,0.00238044
-0.39803876,0.00225837,-0.00457778
-0.39799876,0.00097659,-0.00128178
-0.39795876,-0.00244148,0.00451674
-0.39791876,-0.00268563,0.00476089
-0.39787876,-0.00054933,-0.00067141
-0.39783876,-0.00128178,-0.00292978
-0.39779876,-0.00042726,0.00238044
-0.39775876,0.00097659,-0.00207526
-0.39771876,0.00250252,0.00402844
-0.39767876,-0.00231941,-0.00042726
-0.39763876,0.00390637,0.00085452
-0.39759876,-0.00030519,-0.00067141
-0.39755876,-0.00079348,0.00189215
-0.39751876,0.00274667,0.00390637
-0.39747876,0.00158696,-0.0044557
-0.39743876,0.0004883,0.00341807
-0.39739876,0.0037843,0.00012207
-0.39735876,-0.00018311,0.00262459
-0.39731876,0.00415052,0.00250252
-0.39727876,0.00640889,0.00476089
-0.39723876,-0.00091556,-0.00030519
-0.39719876,-0.00396741,0.00238044
-0.39715876,-0.00268563,0.00073244
-0.39711876,0.00665304,0.00109867
-0.39707876,0,0.00341807
-0.39703876,-0.00219733,0.00390637
-0.39699876,-0.00054933,0.00122074
-0.39695876,0.00250252,0.00225837
-0.39691876,-0.00231941,0.00427259
-0.39687876,-0.00103763,-0.00384533
-0.39683876,-0.00347911,-0.00018311
-0.39679876,0.0004883,0.00189215
-0.39675876,-0.00128178,0.00872829
-0.39671876,0.00415052,0.00189215
-0.39667876,-0.00268563,0.001648
-0.39663876,-0.00042726,-0.00219733
-0.39659876,-0.004944,0.00769066
-0.39655876,0.00012207,0.0037843
-0.39651876,0.00122074,0.00012207
-0.39647876,-0.00042726,-0.00207526
-0.39643876,0.00134281,0.0021363
-0.39639876,0.00354015,0.00225837
-0.39635876,0.00311289,0.00708029
-0.39631876,-0.003296,0.00402844
-0.39627876,-0.00030519,-0.00170904
-0.39623876,0.00085452,0.00274667
-0.39619876,0.00262459,-0.00128178
-0.39615876,0.00061037,-0.00054933
-0.39611876,-0.00067141,0.00146489
-0.39607876,0.00427259,-0.00335704
-0.39603876,-0.00207526,0.00567644
-0.39599876,-0.00244148,-0.00128178
-0.39595876,0.00274667,-0.00018311
-0.39591876,0.00085452,-0.0028077
-0.39587876,0.00085452,0.00341807
-0.39583876,0.0004883,0.00225837
-0.39579876,0.00640889,0.00122074
-0.39575876,-0.00256356,0.00024415
-0.39571876,-0.00207526,-0.00030519
-0.39567876,-0.00305185,-0.00152593
-0.39563876,-0.00207526,0.00311289
-0.39559876,-0.00079348,0.00604267
-0.39555876,0.00036622,0.0004883
-0.39551876,-0.00219733,0.00640889
-0.39547876,0.00628681,0.00146489
