Time,Channel A,Channel B
(ms),(V),(V)

-0.40007428,0.00726341,0.01361126
-0.40003428,0.00695822,0.01135289
-0.39999428,0.00164800,0.01031526
-0.39995428,0.01055940,0.01287881
-0.39991428,0.00738548,0.00982696
-0.39987428,0.00787378,0.01428266
-0.39983428,0.00824000,0.01208533
-0.39979428,0.00824000,0.01147496
-0.39975428,0.00061037,0.00854518
-0.39971428,0.00469985,0.01159703
-0.39967428,0.00726341,0.01287881
-0.39963428,0.00659200,0.01104770
-0.39959428,0.00891141,0.01501511
-0.39955428,0.00634785,0.01287881
-0.39951428,0.00201422,0.01428266
-0.39947428,0.00775170,0.01428266
-0.39943428,0.01019318,0.01171911
-0.39939428,0.01031526,0.01324503
-0.39935428,0.00415052,0.01605274
-0.39931428,0.00415052,0.01806696
-0.39927428,0.00708029,0.01361126
-0.39923428,0.00787378,0.01428266
-0.39919428,0.00891141,0.01452681
-0.39915428,0.00622578,0.01428266
-0.39911428,0.01104770,0.01525925
-0.39907428,0.00671407,0.01232948
-0.39903428,0.00390637,0.01055940
-0.39899428,0.00860622,0.01123081
-0.39895428,0.00659200,0.01184118
-0.39891428,0.00189215,0.01287881
-0.39887428,0.00152593,0.00939970
-0.39883428,0.00610370,0.01525925
-0.39879428,0.00445570,0.01513718
-0.39875428,0.00531022,0.00994903
-0.39871428,0.01092563,0.00964385
-0.39867428,0.00787378,0.01428266
-0.39863428,0.01116977,0.01336711
-0.39859428,0.00659200,0.01171911
-0.39855428,0.00811792,0.01641896
-0.39851428,0.00506607,0.01245155
-0.39847428,0.00848415,0.01263466
-0.39843428,0.01373333,0.01147496
-0.39839428,0.01232948,0.01544237
-0.39835428,0.00762963,0.01489303
-0.39831428,0.00445570,0.01275674
-0.39827428,0.00775170,0.00915555
-0.39823428,0.00646992,0.01361126
-0.39819428,0.00976592,0.01477096
-0.39815428,0.00695822,0.01361126
-0.39811428,0.00366222,0.01629688
-0.39807428,0.00726341,0.01171911
-0.39803428,0.00402844,0.01080355
-0.39799428,0.00811792,0.01348918
-0.39795428,0.00292978,0.00927763
-0.39791428,0.01171911,0.01629688
-0.39787428,0.01043733,0.01556444
-0.39783428,0.00543230,0.00531022
-0.39779428,0.00622578,0.01513718
-0.39775428,0.00799585,0.01220740
-0.39771428,0.01293985,0.00824000
-0.39767428,0.00445570,0.01568651
-0.39763428,0.00836207,0.00915555
-0.39759428,0.01031526,0.01849422
-0.39755428,0.00494400,0.01501511
-0.39751428,0.00292978,0.01043733
-0.39747428,0.00390637,0.01159703
-0.39743428,0.01001007,0.01348918
-0.39739428,0.00531022,0.01336711
-0.39735428,0.01043733,0.00939970
-0.39731428,0.00836207,0.00842311
-0.39727428,0.00585955,0.00964385
-0.39723428,0.00445570,0.01654103
-0.39719428,0.00726341,0.01782281
-0.39715428,0.00738548,0.01220740
-0.39711428,0.00726341,0.01312296
-0.39707428,0.00469985,0.01007111
-0.39703428,0.00225837,0.01721244
-0.39699428,0.00695822,0.01232948
-0.39695428,0.00469985,0.01220740
-0.39691428,0.00134281,0.01361126
-0.39687428,0.00152593,0.01171911
-0.39683428,0.00164800,0.01361126
-0.39679428,0.00622578,0.01123081
-0.39675428,0.00531022,0.01159703
-0.39671428,0.00726341,0.01385540
-0.39667428,0.00262459,0.01184118
-0.39663428,0.00366222,0.01501511
-0.39659428,0.00659200,0.01373333
-0.39655428,0.00695822,0.01385540
-0.39651428,0.01001007,0.01312296
-0.39647428,0.00402844,0.01312296
-0.39643428,0.00622578,0.01849422
-0.39639428,0.00177007,0.01770074
-0.39635428,0.00659200,0.01184118
-0.39631428,-0.00030519,0.00683615
-0.39627428,0.00427259,0.01513718
-0.39623428,0.00097659,0.01336711
-0.39619428,0.00598163,0.01910459
-0.39615428,-0.00067141,0.01361126
-0.39611428,0.00305185,0.01031526
-0.39607428,0.00225837,0.01556444
-0.39603428,0.01001007,0.01312296
-0.39599428,0.00695822,0.01348918
-0.39595428,0.00354015,0.01886044
-0.39591428,0.00695822,0.01403851
-0.39587428,0.00457778,0.01513718
-0.39583428,0.00305185,0.01641896
-0.39579428,-0.00018311,0.01184118
-0.39575428,0.00445570,0.01184118
-0.39571428,0.00024415,0.01385540
-0.39567428,0.00213630,0.01654103
-0.39563428,0.00482192,0.01159703
-0.39559428,0.00775170,0.01428266
-0.39555428,0.00726341,0.01080355
-0.39551428,0.00012207,0.01825007
-0.39547428,0.00341807,0.01428266
-0.39543428,0.00738548,0.01525925
-0.39539428,0.00482192,0.01825007
-0.39535428,0.00390637,0.01617481
-0.39531428,0.00213630,0.01513718
