TIME,CH1,CH2
-1.20E-03,-0.01,-0.01
-1.20E-03,-0.01,-0.02
-1.20E-03,-0.02,-0.03
-1.20E-03,-0.01,-0.02
-1.20E-03,-0.03,-0.04
-1.20E-03,-0.02,-0.01
-1.20E-03,-0.02,-0.03
-1.20E-03,-0.01,-0.01
-1.20E-03,-0.03,-0.02
-1.20E-03,-0.03,-0.02
-1.20E-03,-0.02,-0.02
-1.20E-03,-0.02,-0.02
-1.20E-03,-0.01,-0.02
-1.19E-03,-0.02,-0.04
-1.19E-03,-0.02,-0.02
-1.19E-03,0,-0.01
-1.19E-03,-0.01,-0.02
-1.19E-03,-0.01,-0.02
-1.19E-03,0.02,-0.01
-1.19E-03,-0.03,-0.03
-1.19E-03,0,-0.02
-1.19E-03,-0.02,-0.02
-1.19E-03,-0.01,-0.01
-1.19E-03,-0.01,-0.01
-1.19E-03,-0.01,-0.02
-1.19E-03,-0.02,-0.01
-1.19E-03,-0.01,0
-1.19E-03,-0.01,-0.04
-1.19E-03,-0.03,-0.02
-1.19E-03,-0.01,-0.01
-1.19E-03,-0.01,-0.04
-1.19E-03,-0.02,-0.03
-1.19E-03,-0.03,-0.02
-1.19E-03,-0.01,-0.01
-1.19E-03,-0.02,-0.03
-1.19E-03,-0.03,-0.02
-1.19E-03,-0.01,-0.02
-1.19E-03,-0.02,-0.02
-1.18E-03,-0.01,0
-1.18E-03,0.01,-0.01
-1.18E-03,-0.03,-0.03
-1.18E-03,0,-0.02
-1.18E-03,-0.02,-0.02
-1.18E-03,-0.01,-0.02
-1.18E-03,0,-0.02
-1.18E-03,-0.02,-0.02
-1.18E-03,-0.01,-0.03
-1.18E-03,-0.03,-0.03
-1.18E-03,-0.03,-0.01
-1.18E-03,-0.01,-0.01
-1.18E-03,-0.01,-0.02
-1.18E-03,-0.01,-0.02
-1.18E-03,-0.03,-0.01
-1.18E-03,0,-0.02
-1.18E-03,-0.03,-0.02
-1.18E-03,-0.01,-0.03
-1.18E-03,0,-0.01
-1.18E-03,-0.01,-0.02
-1.18E-03,-0.02,-0.03
-1.18E-03,-0.02,-0.02
-1.18E-03,0,-0.01
-1.18E-03,-0.01,-0.01
-1.18E-03,0,-0.02
-1.17E-03,-0.01,-0.03
-1.17E-03,-0.02,0
-1.17E-03,-0.02,-0.01
-1.17E-03,-0.03,-0.02
-1.17E-03,-0.01,0
-1.17E-03,-0.03,-0.02
-1.17E-03,-0.03,-0.02
-1.17E-03,0,-0.01
-1.17E-03,-0.01,-0.04
-1.17E-03,0,-0.02
-1.17E-03,-0.03,-0.02
-1.17E-03,0,-0.01
-1.17E-03,0,-0.02
-1.17E-03,-0.02,-0.02
-1.17E-03,-0.01,0
-1.17E-03,-0.02,-0.02
-1.17E-03,-0.01,-0.02
-1.17E-03,-0.02,-0.03
-1.17E-03,-0.02,-0.04
-1.17E-03,-0.01,-0.01
-1.17E-03,-0.02,-0.02
-1.17E-03,-0.03,-0.02
-1.17E-03,0,-0.01
-1.17E-03,-0.01,-0.02
-1.17E-03,-0.02,-0.03
-1.16E-03,-0.03,-0.02
-1.16E-03,-0.02,-0.02
-1.16E-03,-0.01,-0.03
-1.16E-03,-0.02,-0.03
-1.16E-03,-0.02,-0.03
-1.16E-03,0,-0.03
-1.16E-03,-0.03,-0.03
-1.16E-03,-0.01,-0.02
-1.16E-03,-0.01,-0.03
-1.16E-03,-0.02,-0.02
-1.16E-03,-0.01,-0.01
-1.16E-03,-0.01,-0.02
-1.16E-03,-0.01,0
-1.16E-03,-0.01,-0.02
-1.16E-03,-0.02,-0.02
-1.16E-03,-0.01,-0.02
-1.16E-03,-0.01,-0.02
-1.16E-03,-0.04,-0.03
-1.16E-03,-0.01,-0.02
-1.16E-03,-0.02,-0.03
-1.16E-03,-0.01,-0.01
-1.16E-03,0,-0.01
-1.16E-03,-0.02,-0.02
-1.16E-03,-0.02,-0.03
-1.16E-03,-0.03,-0.02
-1.15E-03,-0.02,-0.03
-1.15E-03,-0.02,-0.03
-1.15E-03,-0.01,-0.03
-1.15E-03,-0.01,-0.02
-1.15E-03,-0.02,-0.02
-1.15E-03,-0.04,-0.01
-1.15E-03,-0.01,-0.01
-1.15E-03,-0.03,-0.02
-1.15E-03,-0.02,-0.02
-1.15E-03,-0.01,-0.01
-1.15E-03,-0.04,0
-1.15E-03,-0.03,-0.02
-1.15E-03,-0.01,-0.01
-1.15E-03,-0.02,-0.03
-1.15E-03,-0.02,-0.02
-1.15E-03,-0.02,-0.04
-1.15E-03,0.01,-0.01
-1.15E-03,0,-0.02
-1.15E-03,-0.01,-0.01
